station_code;villes ;pays ;region;latitude;longitude
65330;parakou;Benin;Borgou;9.34001;2.620036
65338;abomey;Benin;Zou;7.1904;1.989997
65344;cotonou;Benin;Ouémé;6.400009;2.519991
65518;pô;Burkina Faso;Nahouri;11.169;-1.134998
65516;réo;Burkina Faso;Sanguié;12.33349;-2.466945
65510;bobo dioulasso;Burkina Faso;Houet;11.17998;-4.289981
65507;fada n'gourma;Burkina Faso;Gourma;12.055;0.3609995
65503;ouagadougou;Burkina Faso;Kadiogo;12.37032;-1.524724
65502;ouahigouya;Burkina Faso;Yatenga;13.57042;-2.419992
65594;san pédro;Côte d'ivoire;Bas-Sassandra;4.770418;-6.639967
65578;abidjan;Côte d'ivoire;Lagunes;5.319997;-4.040048
65563;yamoussoukro;Côte d'ivoire;Lacs;6.818381;-5.275503
65560;daloa;Côte d'ivoire;Haut-Sassandra;6.889979;-6.450005
65557;gagnoa;Côte d'ivoire;Fromager;6.150411;-5.879988
65555;bouaké;Côte d'ivoire;Vallée du Bandama;7.689982;-5.030014
65545;bondoukou;Côte d'ivoire;Zanzan;8.030426;-2.800021
65536;korhogo;Côte d'ivoire;Savanes;9.459977;-5.639951
61701;brikama; Gambie;Banjul;13.28036;-16.65995
65472;accra;Ghana;Greater Accra;5.550035;-0.2167157
65467;takoradi;Ghana;Western;4.943276;-1.704015
65442;kumasi;Ghana;Ashanti;6.689991;-1.630014
65401;bolgatanga;Ghana;Upper East;10.79039;-0.8499846
61833;faranah;Guinea;Faranah;10.04041;-10.75
61832;conakry;Guinea;Conakry;9.531523;-13.68024
61829;kankan;Guinea;Kankan;10.39;-9.310011
61818;kindia;Guinea;Kindia;10.06002;-12.86997
61699;mali;Guinea;Labe;12.084003;-12.301001
61769;bolama;Guinea Bissau;Bolama;11.58295;-15.4828
61766;bissau;Guinea Bissau;Bissau;11.86502;-15.59836
65660;kakata;Liberia;Margibi;6.5259990;-10.34900
65592;harper;Liberia;Maryland;4.375378;-7.716981
61297;sikasso;Mali;Sikasso;11.32041;-5.68
61291;bamako;Mali;Bamako;12.6500000;-8
61272;ségou;Mali;Ségou;13.43999;-6.260016
61265;mopti;Mali;Mopti;14.48998;-4.18004
61257;kayes;Mali;Kayes; 14.446931;-11.44001
65167;yola;Nigeria;Adamawa;9.209992;12.48
65101;ilorin;Nigeria;Kwara;8.49001;4.549996
65082;maiduguri;Nigeria;Borno;11.849960;13.1600130
65046;kano;Nigeria;Kano;11.99998;8.520038
61099;birnin-kebbi;Nigeria;Kebbi;12.45041;4.19994
61096;gashua;Nigeria;Yobe;12.87049;11.03999
61090;zinder;Niger;Zinder;13.8;8.983317
61085;diffa;Niger;Diffa;13.31705;12.60888
61080;maradi;Niger;Maradi;13.491643;7.096404
61075;sokoto;Nigeria;Sokoto;13.06002;5.240031
61052;niamey;Niger;Niamey;13.51671;2.116656
61024;agadez;Niger;Agadez;16.99587;7.98281
61832;freetown;Sierra Leone;Unknown;8.479004;-13.26795
61698;kolda;Senegal;Kolda;12.8833300;-14.95003
61695;ziguinchor;Senegal;Ziguinchor;12.58999;-16.29
61687;tambacounda;Senegal;Tambacounda;13.78036;-13.68003
61679;kaolack;Senegal;Kaolack;14.14997;-16.10001
61666;diourbel;Senegal;Diourbel;14.66038;-16.24
61641;dakar;Senegal;Dakar;14.71583;-17.47313
61600;louga;Senegal;Louga;15.61038;-16.25
65387;lomé;Togo;Maritime;6.131937;1.222757
65361;sokodé;Togo;Centre;8.990471;1.149997
